,Year,Produced Renewable(Billion Btu),Total Consumed(Billion Btu),GDP(Million dollar),Population(Thousand),Energy Price(dollars in million btu),Difference
0,1970,4070021.0,67720114.0,0.0,205052.0,1.6,-63650093.0
1,1971,4262212.0,69163993.0,0.0,207661.0,1.8,-64901781.0
2,1972,4382009.0,72677208.0,0.0,209896.0,1.8,-68295199.0
3,1973,4410938.0,75723857.0,0.0,211909.0,2.0,-71312919.0
4,1974,4741851.0,73914525.0,0.0,213854.0,2.9,-69172674.0
5,1975,4687119.0,71953031.0,0.0,215973.0,3.3,-67265912.0
6,1976,4727151.0,75966653.0,0.0,218035.0,3.6,-71239502.0
7,1977,4208966.0,77946963.0,0.0,220239.0,4.0,-73737997.0
8,1978,5005439.0,79978066.0,0.0,222585.0,4.2,-74972627.0
9,1979,5122854.0,80836123.0,0.0,225055.0,5.2,-75713269.0
10,1980,5424534.0,78047744.0,0.0,227225.0,6.9,-72623210.0
11,1981,5417152.0,76093930.0,0.0,229466.0,8.0,-70676778.0
12,1982,5980929.0,73006442.0,0.0,231664.0,8.5,-67025513.0
13,1983,6495613.0,72879382.0,0.0,233792.0,8.4,-66383769.0
14,1984,6438346.0,76510942.0,0.0,235825.0,8.3,-70072596.0
15,1985,6084016.0,76406632.0,0.0,237924.0,8.4,-70322616.0
16,1986,6111140.0,76592009.0,0.0,240133.0,7.3,-70480869.0
17,1987,5624499.0,78960216.0,0.0,242289.0,7.4,-73335717.0
18,1988,5456756.0,82711222.0,0.0,244499.0,7.3,-77254466.0
19,1989,6234663.0,84731901.0,0.0,246819.0,7.6,-78497238.0
20,1990,6041896.0,84455290.0,0.0,249623.0,8.3,-78413394.0
21,1991,6067786.0,84379011.0,0.0,252981.0,8.2,-78311225.0
22,1992,5820551.0,85731655.0,0.0,256514.0,8.2,-79911104.0
23,1993,6079641.0,87294876.0,0.0,259919.0,8.3,-81215235.0
24,1994,5987153.0,89010843.0,0.0,263126.0,8.3,-83023690.0
25,1995,6557307.0,90994772.0,0.0,266278.0,8.3,-84437465.0
26,1996,7010888.0,94005089.0,0.0,269394.0,8.8,-86994201.0
27,1997,7014328.0,94656462.0,11521900.0,272647.0,8.8,-87642134.0
28,1998,6492764.0,94933435.0,12038300.0,275854.0,8.2,-88440671.0
29,1999,6516554.0,96525795.0,12610500.0,279040.0,8.6,-90009241.0
30,2000,6101704.0,98694694.0,13131000.0,282162.0,10.3,-92592990.0
31,2001,5165027.0,96037904.0,13262100.0,284969.0,10.8,-90872877.0
32,2002,5729545.0,97540330.0,13493100.0,287625.0,10.1,-91810785.0
33,2003,5940633.0,97833112.0,13879100.0,290108.0,11.4,-91892479.0
34,2004,6059052.0,100010334.0,14406400.0,292805.0,12.9,-93951282.0
35,2005,6207525.0,100097668.0,14912500.0,295517.0,15.6,-93890143.0
36,2006,6553848.0,99354258.0,15338300.0,298380.0,17.4,-92800410.0
37,2007,6447005.0,100870038.0,15626000.0,301231.0,18.3,-94423033.0
38,2008,7103829.0,98724712.0,15604700.0,304094.0,21.5,-91620883.0
39,2009,7558189.0,93965172.0,15208800.0,306772.0,17.3,-86406983.0
40,2010,8269334.0,97515551.0,15598800.0,309326.0,18.9,-89246217.0
41,2011,9174397.0,96852601.0,15840700.0,311580.0,21.9,-87678204.0
42,2012,8757864.0,94367771.0,16197000.0,313874.0,21.8,-85609907.0
43,2013,9242048.0,97099401.0,16495400.0,316058.0,21.4,-87857353.0
44,2014,9600941.0,98267257.0,16899800.0,318386.0,21.3,-88666316.0
45,2015,9565096.0,97364113.0,17386700.0,320743.0,17.3,-87799017.0
46,2016,10225357.0,97230097.0,17659200.0,323071.0,15.9,-87004740.0
47,2017,11094237.0,97621515.0,18050700.0,325147.0,17.3,-86527278.0
48,2018,8859832.0,103921101.9,,328838.0,19.6,-95061269.9
49,2019,8961888.6,104623189.3,,331506.1,20.0,-94957807.8
50,2020,9063945.1,105325276.8,,334174.2,20.4,-96261331.7
51,2021,9166001.7,106027364.2,,336842.4,20.8,-96861362.5
52,2022,9268058.3,106729451.7,,339510.5,21.2,-97461393.4
53,2023,9370114.9,107431539.1,,342178.6,21.5,-98061424.2
54,2024,9472171.5,108133626.6,,344846.7,21.9,-98661455.1
55,2025,9574228.1,108835714.0,,347514.9,22.3,-99261485.9
56,2026,9676284.7,109537801.5,,350183.0,22.7,-99861516.8
57,2027,9778341.3,110239888.9,,352851.1,23.1,-100461547.6
58,2028,9880397.9,110941976.4,,355519.3,23.4,-101061578.5
59,2029,9982454.5,111644063.8,,358187.4,23.8,-101661609.3
60,2030,10084511.1,112346151.3,,360855.5,24.2,-102261640.2
